股票代码,股票名称,交易所,板块
000810,创维数字,SZ,深市主板
000811,冰轮环境,SZ,深市主板
000812,陕西金叶,SZ,深市主板
000813,德展健康,SZ,深市主板
000815,美利云,SZ,深市主板
000816,智慧农业,SZ,深市主板
000818,航锦科技,SZ,深市主板
000819,岳阳兴长,SZ,深市主板
000822,山东海化,SZ,深市主板
000823,超声电子,SZ,深市主板
000825,太钢不锈,SZ,深市主板
000828,东莞控股,SZ,深市主板
000829,天音控股,SZ,深市主板
000830,鲁西化工,SZ,深市主板
000831,中国稀土,SZ,深市主板
000833,粤桂股份,SZ,深市主板
000837,秦川机床,SZ,深市主板
000839,国安股份,SZ,深市主板
000848,承德露露,SZ,深市主板
000850,华茂股份,SZ,深市主板
000852,石化机械,SZ,深市主板
000856,冀东装备,SZ,深市主板
000858,五 粮 液,SZ,深市主板
000859,国风新材,SZ,深市主板
000860,顺鑫农业,SZ,深市主板
000862,银星能源,SZ,深市主板
000863,三湘印象,SZ,深市主板
000868,安凯客车,SZ,深市主板
000869,张 裕Ａ,SZ,深市主板
000875,电投绿能,SZ,深市主板
000876,新 希 望,SZ,深市主板
000877,天山股份,SZ,深市主板
000878,云南铜业,SZ,深市主板
000880,潍柴重机,SZ,深市主板
000881,中广核技,SZ,深市主板
000882,华联股份,SZ,深市主板
000883,湖北能源,SZ,深市主板
000885,城发环境,SZ,深市主板
000886,海南高速,SZ,深市主板
000887,中鼎股份,SZ,深市主板
000888,峨眉山Ａ,SZ,深市主板
000889,中嘉博创,SZ,深市主板
000890,法尔胜,SZ,深市主板
000892,欢瑞世纪,SZ,深市主板
000893,亚钾国际,SZ,深市主板
000895,双汇发展,SZ,深市主板
000897,津滨发展,SZ,深市主板
000898,鞍钢股份,SZ,深市主板
000899,赣能股份,SZ,深市主板
000900,现代投资,SZ,深市主板
000901,航天科技,SZ,深市主板
000902,新洋丰,SZ,深市主板
000905,厦门港务,SZ,深市主板
000906,浙商中拓,SZ,深市主板
000908,石药景峰,SZ,深市主板
000910,大亚圣象,SZ,深市主板
000912,泸天化,SZ,深市主板
000913,钱江摩托,SZ,深市主板
000915,华特达因,SZ,深市主板
000917,电广传媒,SZ,深市主板
000919,金陵药业,SZ,深市主板
000920,沃顿科技,SZ,深市主板
000921,海信家电,SZ,深市主板
000922,佳电股份,SZ,深市主板
000923,河钢资源,SZ,深市主板
000925,众合科技,SZ,深市主板
000926,福星股份,SZ,深市主板
000927,中国铁物,SZ,深市主板
000928,中钢国际,SZ,深市主板
000929,兰州黄河,SZ,深市主板
000930,中粮科技,SZ,深市主板
000931,中 关 村,SZ,深市主板
000932,华菱钢铁,SZ,深市主板
000933,神火股份,SZ,深市主板
000935,四川双马,SZ,深市主板
000936,华西股份,SZ,深市主板
000937,冀中能源,SZ,深市主板
000938,紫光股份,SZ,深市主板
000948,南天信息,SZ,深市主板
000949,新乡化纤,SZ,深市主板
000950,重药控股,SZ,深市主板
000951,中国重汽,SZ,深市主板
000952,广济药业,SZ,深市主板
000953,中哲精化,SZ,深市主板
000955,欣龙控股,SZ,深市主板
000957,中通客车,SZ,深市主板
000958,电投产融,SZ,深市主板
000959,首钢股份,SZ,深市主板
000960,锡业股份,SZ,深市主板
000962,东方钽业,SZ,深市主板
000963,华东医药,SZ,深市主板
000965,天保基建,SZ,深市主板
000966,长源电力,SZ,深市主板
000967,盈峰环境,SZ,深市主板
000968,蓝焰控股,SZ,深市主板
000969,安泰科技,SZ,深市主板
000970,中科三环,SZ,深市主板
000972,中基健康,SZ,深市主板
000973,佛塑科技,SZ,深市主板
000975,山金国际,SZ,深市主板
000977,浪潮信息,SZ,深市主板
000978,桂林旅游,SZ,深市主板
000980,众泰汽车,SZ,深市主板
000981,山子高科,SZ,深市主板
000983,山西焦煤,SZ,深市主板
000985,大庆华科,SZ,深市主板
000987,越秀资本,SZ,深市主板
000988,华工科技,SZ,深市主板
000989,九芝堂,SZ,深市主板
000990,诚志股份,SZ,深市主板
000993,闽东电力,SZ,深市主板
000995,皇台酒业,SZ,深市主板
000997,新 大 陆,SZ,深市主板
000998,隆平高科,SZ,深市主板
000999,华润三九,SZ,深市主板
001201,东瑞股份,SZ,深市主板
001202,炬申股份,SZ,深市主板
001203,大中矿业,SZ,深市主板
001205,盛航股份,SZ,深市主板
001206,依依股份,SZ,深市主板
001207,联科科技,SZ,深市主板
001208,华菱线缆,SZ,深市主板
001209,洪兴股份,SZ,深市主板
001210,金房能源,SZ,深市主板
001211,双枪科技,SZ,深市主板
001212,中旗新材,SZ,深市主板
001213,中铁特货,SZ,深市主板
001215,千味央厨,SZ,深市主板
001216,华瓷股份,SZ,深市主板
001217,华尔泰,SZ,深市主板
001218,丽臣实业,SZ,深市主板
001219,青岛食品,SZ,深市主板
001220,世盟股份,SZ,深市主板
001221,悍高集团,SZ,深市主板
001222,源飞宠物,SZ,深市主板
001223,欧克科技,SZ,深市主板
001225,和泰机电,SZ,深市主板
001226,拓山重工,SZ,深市主板
001227,兰州银行,SZ,深市主板
001228,永泰运,SZ,深市主板
001229,魅视科技,SZ,深市主板
001230,劲旅环境,SZ,深市主板
001231,农心科技,SZ,深市主板
001233,海安集团,SZ,深市主板
001234,泰慕士,SZ,深市主板
001236,弘业期货,SZ,深市主板
001237,惠康科技,SZ,深市主板
001238,浙江正特,SZ,深市主板
001239,永达股份,SZ,深市主板
001248,C华润,SZ,深市主板
001255,博菲电气,SZ,深市主板
001256,炜冈科技,SZ,深市主板
001257,盛龙股份,SZ,深市主板
001258,立新能源,SZ,深市主板
001259,利仁科技,SZ,深市主板
001260,坤泰股份,SZ,深市主板
001266,宏英智能,SZ,深市主板
001267,汇绿生态,SZ,深市主板
001268,联合精密,SZ,深市主板
001269,欧晶科技,SZ,深市主板
001270,铖昌科技,SZ,深市主板
001277,速达股份,SZ,深市主板
001278,一彬科技,SZ,深市主板
001279,强邦新材,SZ,深市主板
001280,中国铀业,SZ,深市主板
001282,三联锻造,SZ,深市主板
001283,豪鹏科技,SZ,深市主板
001285,瑞立科密,SZ,深市主板
001286,陕西能源,SZ,深市主板
001287,中电港,SZ,深市主板
001288,运机集团,SZ,深市主板
001289,龙源电力,SZ,深市主板
001296,长江材料,SZ,深市主板
001298,好上好,SZ,深市主板
001299,美能能源,SZ,深市主板
001300,三柏硕,SZ,深市主板
001301,尚太科技,SZ,深市主板
001306,夏厦精密,SZ,深市主板
001308,康冠科技,SZ,深市主板
001309,德明利,SZ,深市主板
001311,多利科技,SZ,深市主板
001312,福恩股份,SZ,深市主板
001313,粤海饲料,SZ,深市主板
001314,亿道信息,SZ,深市主板
001316,润贝航科,SZ,深市主板
001317,三羊马,SZ,深市主板
001318,阳光乳业,SZ,深市主板
001319,铭科精技,SZ,深市主板
001322,箭牌家居,SZ,深市主板
001323,慕思股份,SZ,深市主板
001324,长青科技,SZ,深市主板
001325,元创股份,SZ,深市主板
001326,联域股份,SZ,深市主板
001328,登康口腔,SZ,深市主板
001330,博纳影业,SZ,深市主板
001331,胜通能源,SZ,深市主板
001332,锡装股份,SZ,深市主板
001333,光华股份,SZ,深市主板
001335,信凯科技,SZ,深市主板
001336,楚环科技,SZ,深市主板
001337,四川黄金,SZ,深市主板
001338,永顺泰,SZ,深市主板
001339,智微智能,SZ,深市主板
001356,富岭股份,SZ,深市主板
001358,兴欣新材,SZ,深市主板
001359,平安电工,SZ,深市主板
001360,南矿集团,SZ,深市主板
001365,天海电子,SZ,深市主板
001366,播恩集团,SZ,深市主板
001367,海森药业,SZ,深市主板
001368,通达创智,SZ,深市主板
001369,双欣材料,SZ,深市主板
001373,翔腾新材,SZ,深市主板
001376,百通能源,SZ,深市主板
001378,德冠新材,SZ,深市主板
001379,腾达科技,SZ,深市主板
001380,华纬科技,SZ,深市主板
001382,新亚电缆,SZ,深市主板
001386,马可波罗,SZ,深市主板
001387,雪祺电气,SZ,深市主板
001388,信通电子,SZ,深市主板
001389,广合科技,SZ,深市主板
001390,古麒绒材,SZ,深市主板
001391,国货航,SZ,深市主板
001393,维通利,SZ,深市主板
001395,亚联机械,SZ,深市主板
001396,誉帆科技,SZ,深市主板
001399,惠科股份,SZ,深市主板
001400,江顺科技,SZ,深市主板
001696,宗申动力,SZ,深市主板
001872,招商港口,SZ,深市主板
001896,豫能控股,SZ,深市主板
001914,招商积余,SZ,深市主板
001965,招商公路,SZ,深市主板
001979,招商蛇口,SZ,深市主板
002001,新 和 成,SZ,深市中小板
002003,伟星股份,SZ,深市中小板
002004,华邦健康,SZ,深市中小板
002006,精工科技,SZ,深市中小板
002007,华兰生物,SZ,深市中小板
002008,大族激光,SZ,深市中小板
002009,天奇股份,SZ,深市中小板
002010,传化智联,SZ,深市中小板
002011,盾安环境,SZ,深市中小板
002012,凯恩股份,SZ,深市中小板
002014,永新股份,SZ,深市中小板
002015,协鑫能科,SZ,深市中小板
002016,世荣兆业,SZ,深市中小板
002017,东信和平,SZ,深市中小板
